X,Y,distancia_sitios_nuevos,presencia_sitio_nuevo,distancia_mincul,altitud,pendiente,dist_river_m,dist_river_norm,p_norm,h_norm,W_river,W_corridor
343075.0,8555875.0,4101.37172175359,0,775.4031209635411,9.0,2.0682898,327.872185796208,0.0749106478179533,0.03189059604393021,0.003443187407771764,0.9250893521820467,0.895587701347068
343075.0,8556125.0,4280.332930976281,0,807.0006195784487,10.0,2.0682898,98.51826655843114,0.022508684845575472,0.03189059604393021,0.0039350713231677305,0.9774913151544246,0.9463185344863847
343075.0,8556375.0,4466.122479287822,0,908.982948134892,9.0,2.0682898,75.51995646403151,0.017254113229798647,0.03189059604393021,0.003443187407771764,0.9827458867702014,0.9514055346813789
343075.0,8556625.0,4657.92335703369,0,1061.2492638395563,8.0,2.0682898,249.51680585041535,0.057008290917963916,0.03189059604393021,0.002951303492375798,0.9429917090820361,0.9129191414149256
343075.0,8556875.0,4855.023171932344,0,1245.4918707081151,10.0,0.92528886,423.51365523679925,0.0967624686061292,0.014266865918987123,0.0039350713231677305,0.9032375313938708,0.8903511626404775
343075.0,8557125.0,5056.802349311272,0,1449.5689014324223,8.0,0.0,601.5647130267213,0.13744293732673268,0.0,0.002951303492375798,0.8625570626732673,0.8625570626732673
343075.0,8557375.0,5262.722679374242,0,1666.2082702951634,8.0,1.8500954,810.7665782912048,0.18524063109963332,0.028526295030867278,0.002951303492375798,0.8147593689003667,0.7915173027639516
343075.0,8557625.0,5283.713416461513,0,1758.1950972517243,8.0,2.0682898,1038.1737739844593,0.2371978136408045,0.03189059604393021,0.002951303492375798,0.7628021863591955,0.7384759699725877
343075.0,8557875.0,5160.008960001504,0,1648.104972384951,8.0,0.92528886,1274.0750078014412,0.2910956836257515,0.014266865918987123,0.002951303492375798,0.7089043163742486,0.6987904735431459
343075.0,8558125.0,5045.667197437442,0,1402.230366238016,4.0,2.0682898,1514.5063440010244,0.34602857519700086,0.03189059604393021,0.0009837678307919326,0.6539714248029991,0.6331158862703332
343075.0,8558375.0,4941.33812517385,0,1158.1234821900468,7.0,1.3084424,1757.6096854917637,0.40157195697829107,0.020174642849928738,0.0024594195769798315,0.5984280430217089,0.5863549709823641
343075.0,8558625.0,4847.66825054036,0,917.1968163922072,6.0,1.8500954,1585.3352560089777,0.36221131162788217,0.028526295030867278,0.0019675356615838652,0.6377886883721178,0.6195949400802649
343075.0,8558875.0,4765.286189443132,0,682.8250141873832,6.0,2.0682898,1411.3390760812474,0.3224572868952351,0.03189059604393021,0.0019675356615838652,0.6775427131047649,0.6559354721386323
343075.0,8559125.0,4694.786200382063,0,465.0268809434568,9.0,0.92528886,1246.528608008429,0.28480198074605817,0.014266865918987123,0.003443187407771764,0.7151980192539418,0.7049943850077206
343075.0,8559375.0,4636.710306596506,0,302.0761493398643,9.0,0.92528886,1113.5434210465596,0.2544180009727454,0.014266865918987123,0.003443187407771764,0.7455819990272545,0.7349448806155223
343075.0,8559625.0,4591.529970205865,0,302.0761493398643,12.0,3.8097708,1025.2435469334687,0.23424356162103413,0.05874218477640842,0.004918839153959663,0.7657564383789659,0.7207742321819842
343075.0,8559875.0,4559.628544881598,0,465.0268809434568,50.0,12.259013,993.6144677395573,0.22701706275727826,0.18901956170759482,0.023610427939006383,0.7729829372427217,0.6268740412376532
343075.0,8560125.0,4541.285882577697,0,682.8250141873832,59.0,5.610798,995.0106417750941,0.22733605560621817,0.08651190587609701,0.02803738317757008,0.7726639443937818,0.7058193139625331
